Chassis,Vendor,ASIC,Ports,Total Bandwidth,Total PPS,Latency,Buffer,Reference,Notes
QFX3500s,Juniper,,48x 10G SFP+ + 4x QSFP+,1.28 Tbps,960 Mpps,1.6 us,9 MB,,
QFX5100-24Q,Juniper,Trident2,24 x 40GbE + 2 slots each 4 x 40GbE,2.56 Tbps,1.44 Bpps,,12 MB,"https://www.oreilly.com/library/view/juniper-qfx5100-series/9781491949566/ch01.html
https://www.junipernetworksevents.net/emea_partner_2016/assets/presentations/breakout/Technology_Breakout_Datacenter_Security-Stephano_Alei-Ricardo_Perez.pdf",
QFX5100-48S,Juniper,Trident2,48 x 10GbE / 1GbE + 6 x 40GbE,1.44 Tbps,1.08 Bpps,,12 MB,,
QFX5100-96S,Juniper,Trident2,96 x 10GbE / 1GbE + 8 x 40GbE,2.56 Tbps,1.44 Bpps,,12 MB,,
QFX5110-32Q,Juniper,Trident2+,32x 40G ports + 4x 100G ports,1.28 Tbps,,500 ns,16 MB,,
QFX5110-48S,Juniper,Trident2+,48x 10G ports + 4x 40/100G ports,880 Gbps,,500 ns,16 MB,,
QFX5120-48Y,Juniper,Trident3 (?),48 25GbE ports and 8 QSFP28,4 Tbps,,550 ns,32 MB,"https://blogs.juniper.net/en-us/enterprise-cloud-and-transformation/welcome-qfx5120-48y
https://people.ucsc.edu/~warner/Bufs/qfx5120.html",
QFX5200-32C,Juniper,Tomahawk,32x 40/100G ports,3.2 Tbps,,500 ns,,"https://blog.ipspace.net/2015/12/broadcom-tomahawk-101.html
https://www.juniper.net/us/en/products-services/switching/qfx-series/datasheets/1000633.page",
QFX5200-48Y,Juniper,Tomahawk,48x25GbE + 6x100GbE,,,500 ns,,https://www.juniper.net/us/en/products-services/switching/qfx-series/qfx5200/,
QFX5200-64Q,Juniper,Tomahawk,64x 40/100G ports,12.2 Tbps,,500 ns,,"https://blog.ipspace.net/2015/12/broadcom-tomahawk-101.html
https://www.juniper.net/us/en/products-services/switching/qfx-series/datasheets/1000633.page",
QFX5210-64C,Juniper,Tomahawk+,2 U 64x100GbE ,12.2 Tbps,,500 ns,,https://www.juniper.net/us/en/products-services/switching/qfx-series/qfx5200/,
QFX5220-32CD,Juniper,Tomahawk2,32x400GbE,12.2 Tbps,,500 ns,,https://www.juniper.net/us/en/products-services/switching/qfx-series/qfx5200/,
T1048-LY4R,Quanta,Hurricane2,48 10/100/1000BAE-T and 4 1/10GbE SFP+,176 Gbps,,,,https://www.qct.io/product/index/Networking/Bare-Metal-Switch/Management-Switch/QuantaMesh-BMS-T1048-LY4R,
T3048-LY8,Quanta,Trident2,48 1/10GbE SFP+ and 6 QSFP+,1.44 Tbps,,600 ns,,https://www.qct.io/product/index/Networking/Ethernet-Switch/T3000-Series/QuantaMesh-T3048-LY8,
T4048-IX8,Quanta,Trident3 BCM56873,48 SFP28 (10/25GbE) and 8 QSFP28 ports (10/40 or 25/50/100GbE),4 Tbps,,,,https://www.qct.io/product/index/Networking/Bare-Metal-Switch/Leaf-Switch/QuantaMesh-BMS-T4048-IX8#specifications,
T7032-IX7,Quanta,Trident3 BCM56870,32 QSFP28 (10/25/40/50/100GbE),6.4 Tbps,,,,https://www.qct.io/product/index/Switch/Bare-Metal-Switch/Spine-Switch/QuantaMesh-BMS-T7032-IX7,
